Case,Comparison,Reader1,Reader2,Pre/Post,Organ,Dice Score
Case_23,Expert vs Novice,Maria,Burcin,pre,tumor,0.0
Case_23,Expert vs Novice,Maria,Onur,pre,tumor,0.08878504672897196
Case_23,Experts,Natally,Maria,pre,tumor,0.0
Case_23,Novices,Burcin,Onur,pre,tumor,0.2339688041594454
Case_23,Expert vs Novice,Natally,Burcin,post,pancreas,0.7400762917581782
Case_23,Expert vs Novice,Natally,Onur,post,pancreas,0.7921796625626994
Case_23,Expert vs Novice,Maria,Burcin,post,pancreas,0.8397359681849863
Case_23,Expert vs Novice,Maria,Onur,post,pancreas,0.7877877631416964
Case_23,Experts,Natally,Maria,post,pancreas,0.7657937845730158
Case_23,Novices,Burcin,Onur,post,pancreas,0.7744377110829002
Case_23,Expert vs Novice,Natally,Burcin,post,tumor,0.0
Case_23,Expert vs Novice,Natally,Onur,post,tumor,0.0
Case_23,Expert vs Novice,Maria,Burcin,post,tumor,0.0
Case_23,Expert vs Novice,Maria,Onur,post,tumor,0.05210800568450971
Case_23,Experts,Natally,Maria,post,tumor,0.0
Case_23,Novices,Burcin,Onur,post,tumor,0.11916407292129835
Case_24,Expert vs Novice,Natally,Burcin,pre,pancreas,0.8177100414777659
Case_24,Expert vs Novice,Natally,Onur,pre,pancreas,0.8826774707986724
Case_24,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8644336432797971
Case_24,Expert vs Novice,Maria,Onur,pre,pancreas,0.8755038850265817
Case_24,Experts,Natally,Maria,pre,pancreas,0.8413997318981213
Case_24,Novices,Burcin,Onur,pre,pancreas,0.8474767409078094
Case_24,Expert vs Novice,Natally,Burcin,pre,tumor,0.6282009724473258
Case_24,Expert vs Novice,Natally,Onur,pre,tumor,0.734827264239029
Case_24,Expert vs Novice,Maria,Burcin,pre,tumor,0.3133819951338199
Case_24,Expert vs Novice,Maria,Onur,pre,tumor,0.6645319269165568
Case_24,Experts,Natally,Maria,pre,tumor,0.532732345996995
Case_24,Novices,Burcin,Onur,pre,tumor,0.5033467202141901
Case_24,Expert vs Novice,Natally,Burcin,post,pancreas,0.7374306673823582
Case_24,Expert vs Novice,Natally,Onur,post,pancreas,0.8644164109557905
Case_24,Expert vs Novice,Maria,Burcin,post,pancreas,0.8131598998584957
Case_24,Expert vs Novice,Maria,Onur,post,pancreas,0.8487386444226808
Case_24,Experts,Natally,Maria,post,pancreas,0.8250094524456054
Case_24,Novices,Burcin,Onur,post,pancreas,0.7663279689886057
Case_24,Expert vs Novice,Natally,Burcin,post,tumor,0.4783404514948139
Case_24,Expert vs Novice,Natally,Onur,post,tumor,0.5984909295231979
Case_24,Expert vs Novice,Maria,Burcin,post,tumor,0.6170376055257099
Case_24,Expert vs Novice,Maria,Onur,post,tumor,0.7059137631824857
Case_24,Experts,Natally,Maria,post,tumor,0.44620131122252216
Case_24,Novices,Burcin,Onur,post,tumor,0.7588308317345672
Case_25,Expert vs Novice,Natally,Burcin,pre,pancreas,0.817908470759653
Case_25,Expert vs Novice,Natally,Onur,pre,pancreas,0.8862633710038074
Case_25,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8543926548443227
Case_25,Expert vs Novice,Maria,Onur,pre,pancreas,0.8816049967933525
Case_25,Experts,Natally,Maria,pre,pancreas,0.8681673817351089
Case_25,Novices,Burcin,Onur,pre,pancreas,0.828364243765991
Case_25,Expert vs Novice,Natally,Burcin,pre,tumor,0.4035553197134518
Case_25,Expert vs Novice,Natally,Onur,pre,tumor,0.4776009791921665
Case_25,Expert vs Novice,Maria,Burcin,pre,tumor,0.6725076959507459
Case_25,Expert vs Novice,Maria,Onur,pre,tumor,0.6580744657413528
Case_25,Experts,Natally,Maria,pre,tumor,0.39078087375300996
Case_25,Novices,Burcin,Onur,pre,tumor,0.7322718015182373
Case_25,Expert vs Novice,Natally,Burcin,post,pancreas,0.8088316298427076
Case_25,Expert vs Novice,Natally,Onur,post,pancreas,0.8648069436011001
Case_25,Expert vs Novice,Maria,Burcin,post,pancreas,0.8511809882625706
Case_25,Expert vs Novice,Maria,Onur,post,pancreas,0.8610850321888412
Case_25,Experts,Natally,Maria,post,pancreas,0.8307682057432207
Case_25,Novices,Burcin,Onur,post,pancreas,0.8221278167713336
Case_25,Expert vs Novice,Natally,Burcin,post,tumor,0.2771345875542692
Case_25,Expert vs Novice,Natally,Onur,post,tumor,0.2798447842958229
Case_25,Expert vs Novice,Maria,Burcin,post,tumor,0.5993808049535604
Case_25,Expert vs Novice,Maria,Onur,post,tumor,0.7462086041473228
Case_25,Experts,Natally,Maria,post,tumor,0.20155872077398548
Case_25,Novices,Burcin,Onur,post,tumor,0.5816530426884651
Case_26,Expert vs Novice,Natally,Burcin,pre,pancreas,0.8443259323755623
Case_26,Expert vs Novice,Natally,Onur,pre,pancreas,0.875478166349631
Case_26,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8626375533724442
Case_26,Expert vs Novice,Maria,Onur,pre,pancreas,0.8674813710879284
Case_26,Experts,Natally,Maria,pre,pancreas,0.863989239046887
Case_26,Novices,Burcin,Onur,pre,pancreas,0.8402823282721434
Case_26,Expert vs Novice,Natally,Burcin,pre,tumor,0.7776258545680547
Case_26,Expert vs Novice,Natally,Onur,pre,tumor,0.8655020593665672
Case_26,Expert vs Novice,Maria,Burcin,pre,tumor,0.7396982376061874
Case_26,Expert vs Novice,Maria,Onur,pre,tumor,0.8371349702164754
Case_26,Experts,Natally,Maria,pre,tumor,0.8450092994420335
Case_26,Novices,Burcin,Onur,pre,tumor,0.819490325625295
Case_26,Expert vs Novice,Natally,Burcin,post,pancreas,0.7486984126984128
Case_26,Expert vs Novice,Natally,Onur,post,pancreas,0.8604102805941994
Case_26,Expert vs Novice,Maria,Burcin,post,pancreas,0.8496467108506326
Case_26,Expert vs Novice,Maria,Onur,post,pancreas,0.8405778069599474
Case_26,Experts,Natally,Maria,post,pancreas,0.8047757559358723
Case_26,Novices,Burcin,Onur,post,pancreas,0.7746496264740385
Case_26,Expert vs Novice,Natally,Burcin,post,tumor,0.5728234336859235
Case_26,Expert vs Novice,Natally,Onur,post,tumor,0.7374380750176929
Case_26,Expert vs Novice,Maria,Burcin,post,tumor,0.5826740506329114
Case_26,Expert vs Novice,Maria,Onur,post,tumor,0.6965610249494268
Case_26,Experts,Natally,Maria,post,tumor,0.5968891769280622
Case_26,Novices,Burcin,Onur,post,tumor,0.5383653044203502
Case_27,Expert vs Novice,Natally,Burcin,pre,pancreas,0.828285019289466
Case_27,Expert vs Novice,Natally,Onur,pre,pancreas,0.8494849187935035
Case_27,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8276928417033496
Case_27,Expert vs Novice,Maria,Onur,pre,pancreas,0.877089143095631
Case_27,Experts,Natally,Maria,pre,pancreas,0.8386350291852313
Case_27,Novices,Burcin,Onur,pre,pancreas,0.8018534119629318
Case_27,Expert vs Novice,Natally,Burcin,pre,tumor,0.7717813660305674
Case_27,Expert vs Novice,Natally,Onur,pre,tumor,0.7667623712210775
Case_27,Expert vs Novice,Maria,Burcin,pre,tumor,0.4922232387923147
Case_27,Expert vs Novice,Maria,Onur,pre,tumor,0.7494416411613863
Case_27,Experts,Natally,Maria,pre,tumor,0.6112978283350569
Case_27,Novices,Burcin,Onur,pre,tumor,0.6786996309216846
Case_27,Expert vs Novice,Natally,Burcin,post,pancreas,0.6827753576219834
Case_27,Expert vs Novice,Natally,Onur,post,pancreas,0.8058314151046805
Case_27,Expert vs Novice,Maria,Burcin,post,pancreas,0.714267871268579
Case_27,Expert vs Novice,Maria,Onur,post,pancreas,0.8028287000058444
Case_27,Experts,Natally,Maria,post,pancreas,0.7525954799295379
Case_27,Novices,Burcin,Onur,post,pancreas,0.6641579847613124
Case_27,Expert vs Novice,Natally,Burcin,post,tumor,0.7008390141583639
Case_27,Expert vs Novice,Natally,Onur,post,tumor,0.806357484323586
Case_27,Expert vs Novice,Maria,Burcin,post,tumor,0.7302383939774153
Case_27,Expert vs Novice,Maria,Onur,post,tumor,0.7736111111111111
Case_27,Experts,Natally,Maria,post,tumor,0.7662993245645219
Case_27,Novices,Burcin,Onur,post,tumor,0.7609518311846578
Case_28,Expert vs Novice,Natally,Burcin,pre,pancreas,0.8313301990172859
Case_28,Expert vs Novice,Natally,Onur,pre,pancreas,0.8728118722584348
Case_28,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8780744183754753
Case_28,Expert vs Novice,Maria,Onur,pre,pancreas,0.8713119308389916
Case_28,Experts,Natally,Maria,pre,pancreas,0.8574882192401764
Case_28,Novices,Burcin,Onur,pre,pancreas,0.8485852798589687
Case_28,Expert vs Novice,Natally,Burcin,pre,tumor,0.7925736235595391
Case_28,Expert vs Novice,Natally,Onur,pre,tumor,0.7932656598167863
Case_28,Expert vs Novice,Maria,Burcin,pre,tumor,0.8699080157687253
Case_28,Expert vs Novice,Maria,Onur,pre,tumor,0.887981627966318
Case_28,Experts,Natally,Maria,pre,tumor,0.8177655677655677
Case_28,Novices,Burcin,Onur,pre,tumor,0.8331366532924239
Case_28,Expert vs Novice,Natally,Burcin,post,pancreas,0.8549928206824486
Case_28,Expert vs Novice,Natally,Onur,post,pancreas,0.8913212618475032
Case_28,Expert vs Novice,Maria,Burcin,post,pancreas,0.8876145657947573
Case_28,Expert vs Novice,Maria,Onur,post,pancreas,0.8636423233250295
Case_28,Experts,Natally,Maria,post,pancreas,0.8670020660179475
Case_28,Novices,Burcin,Onur,post,pancreas,0.8360639119144722
Case_28,Expert vs Novice,Natally,Burcin,post,tumor,0.8225712623618383
Case_28,Expert vs Novice,Natally,Onur,post,tumor,0.7953400503778337
Case_28,Expert vs Novice,Maria,Burcin,post,tumor,0.8727348037692866
Case_28,Expert vs Novice,Maria,Onur,post,tumor,0.8639386765866306
Case_28,Experts,Natally,Maria,post,tumor,0.8306315266036798
Case_28,Novices,Burcin,Onur,post,tumor,0.8256297918948521
Case_29,Expert vs Novice,Natally,Burcin,pre,pancreas,0.8158159026942581
Case_29,Expert vs Novice,Natally,Onur,pre,pancreas,0.8264650972177952
Case_29,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8563834858886347
Case_29,Expert vs Novice,Maria,Onur,pre,pancreas,0.8474845951340875
Case_29,Experts,Natally,Maria,pre,pancreas,0.8232128611798429
Case_29,Novices,Burcin,Onur,pre,pancreas,0.7807406235163792
Case_29,Expert vs Novice,Natally,Burcin,pre,tumor,0.28708611632716124
Case_29,Expert vs Novice,Natally,Onur,pre,tumor,0.22593582887700533
Case_29,Expert vs Novice,Maria,Burcin,pre,tumor,0.49621457927752544
Case_29,Expert vs Novice,Maria,Onur,pre,tumor,0.6441125941588476
Case_29,Experts,Natally,Maria,pre,tumor,0.1271282633371169
Case_29,Novices,Burcin,Onur,pre,tumor,0.6848149723521906
Case_29,Expert vs Novice,Natally,Burcin,post,pancreas,0.7339182786871227
Case_29,Expert vs Novice,Natally,Onur,post,pancreas,0.805305889079474
Case_29,Expert vs Novice,Maria,Burcin,post,pancreas,0.7643190533201465
Case_29,Expert vs Novice,Maria,Onur,post,pancreas,0.8617658716280805
Case_29,Experts,Natally,Maria,post,pancreas,0.7990673661420601
Case_29,Novices,Burcin,Onur,post,pancreas,0.7086755935636323
Case_29,Expert vs Novice,Natally,Burcin,post,tumor,0.6448711295623595
Case_29,Expert vs Novice,Natally,Onur,post,tumor,0.7091445427728613
Case_29,Expert vs Novice,Maria,Burcin,post,tumor,0.4733382030679328
Case_29,Expert vs Novice,Maria,Onur,post,tumor,0.55584872471416
Case_29,Experts,Natally,Maria,post,tumor,0.43351458230350964
Case_29,Novices,Burcin,Onur,post,tumor,0.6529343179168287
Case_30,Expert vs Novice,Natally,Burcin,pre,pancreas,0.7271911080785046
Case_30,Expert vs Novice,Natally,Onur,pre,pancreas,0.777042270980538
Case_30,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8163903760562472
Case_30,Expert vs Novice,Maria,Onur,pre,pancreas,0.6840277777777778
Case_30,Experts,Natally,Maria,pre,pancreas,0.7554253512716688
Case_30,Novices,Burcin,Onur,pre,pancreas,0.6564935597670031
Case_30,Expert vs Novice,Natally,Burcin,pre,tumor,0.6631642756112346
Case_30,Expert vs Novice,Natally,Onur,pre,tumor,0.8357268698948268
Case_30,Expert vs Novice,Maria,Burcin,pre,tumor,0.8206767178489544
Case_30,Expert vs Novice,Maria,Onur,pre,tumor,0.7621640611277006
Case_30,Experts,Natally,Maria,pre,tumor,0.7217449365679947
Case_30,Novices,Burcin,Onur,pre,tumor,0.7125977965831072
Case_30,Expert vs Novice,Natally,Burcin,post,pancreas,0.7674371859296483
Case_30,Expert vs Novice,Natally,Onur,post,pancreas,0.8163463662469627
Case_30,Expert vs Novice,Maria,Burcin,post,pancreas,0.7794417971409122
Case_30,Expert vs Novice,Maria,Onur,post,pancreas,0.8187780316493187
Case_30,Experts,Natally,Maria,post,pancreas,0.826298024045208
Case_30,Novices,Burcin,Onur,post,pancreas,0.7157871445956411
Case_30,Expert vs Novice,Natally,Burcin,post,tumor,0.7518483807143601
Case_30,Expert vs Novice,Natally,Onur,post,tumor,0.8055003125177567
Case_30,Expert vs Novice,Maria,Burcin,post,tumor,0.829900124843945
Case_30,Expert vs Novice,Maria,Onur,post,tumor,0.8789237668161435
Case_30,Experts,Natally,Maria,post,tumor,0.8294810292193633
Case_30,Novices,Burcin,Onur,post,tumor,0.8315385031657557
Case_31,Expert vs Novice,Natally,Burcin,pre,pancreas,0.7072010068037913
Case_31,Expert vs Novice,Natally,Onur,pre,pancreas,0.8385410616796376
Case_31,Expert vs Novice,Maria,Burcin,pre,pancreas,0.715568746868134
Case_31,Expert vs Novice,Maria,Onur,pre,pancreas,0.8244614864102854
Case_31,Experts,Natally,Maria,pre,pancreas,0.878139298423996
Case_31,Novices,Burcin,Onur,pre,pancreas,0.6425439530032778
Case_31,Expert vs Novice,Natally,Burcin,pre,tumor,0.0
Case_31,Expert vs Novice,Natally,Onur,pre,tumor,0.14888079125455492
Case_31,Expert vs Novice,Maria,Burcin,pre,tumor,0.0
Case_31,Expert vs Novice,Maria,Onur,pre,tumor,0.2345110087045571
Case_31,Experts,Natally,Maria,pre,tumor,0.5718475073313783
Case_31,Novices,Burcin,Onur,pre,tumor,0.0
Case_31,Expert vs Novice,Natally,Burcin,post,pancreas,0.7292651343476854
Case_31,Expert vs Novice,Natally,Onur,post,pancreas,0.8175267945600289
Case_31,Expert vs Novice,Maria,Burcin,post,pancreas,0.7850137368962289
Case_31,Expert vs Novice,Maria,Onur,post,pancreas,0.8272888981898086
Case_31,Experts,Natally,Maria,post,pancreas,0.8318780264872329
Case_31,Novices,Burcin,Onur,post,pancreas,0.6965809025866814
Case_31,Expert vs Novice,Natally,Burcin,post,tumor,0.0
Case_31,Expert vs Novice,Natally,Onur,post,tumor,0.6626794258373205
Case_31,Expert vs Novice,Maria,Burcin,post,tumor,0.0
Case_31,Expert vs Novice,Maria,Onur,post,tumor,0.23429541595925296
Case_31,Experts,Natally,Maria,post,tumor,0.2226148409893993
Case_31,Novices,Burcin,Onur,post,tumor,0.0
Case_32,Expert vs Novice,Natally,Burcin,pre,pancreas,0.728459152348961
Case_32,Expert vs Novice,Natally,Onur,pre,pancreas,0.7254593961153913
Case_32,Expert vs Novice,Maria,Burcin,pre,pancreas,0.7579404161024252
Case_32,Expert vs Novice,Maria,Onur,pre,pancreas,0.6920134353424147
Case_32,Experts,Natally,Maria,pre,pancreas,0.8065407558460864
Case_32,Novices,Burcin,Onur,pre,pancreas,0.5710756366400608
Case_32,Expert vs Novice,Natally,Burcin,pre,tumor,0.7145850120870266
Case_32,Expert vs Novice,Natally,Onur,pre,tumor,0.6753623188405797
Case_32,Expert vs Novice,Maria,Burcin,pre,tumor,0.6665281529191772
Case_32,Expert vs Novice,Maria,Onur,pre,tumor,0.8155904595695171
Case_32,Experts,Natally,Maria,pre,tumor,0.6710418375717802
Case_32,Novices,Burcin,Onur,pre,tumor,0.670023075309419
Case_32,Expert vs Novice,Natally,Burcin,post,pancreas,0.7810410432598175
Case_32,Expert vs Novice,Natally,Onur,post,pancreas,0.8099886813808715
Case_32,Expert vs Novice,Maria,Burcin,post,pancreas,0.7837842722622856
Case_32,Expert vs Novice,Maria,Onur,post,pancreas,0.7879538521525723
Case_32,Experts,Natally,Maria,post,pancreas,0.8293312043235276
Case_32,Novices,Burcin,Onur,post,pancreas,0.7207494681721486
Case_32,Expert vs Novice,Natally,Burcin,post,tumor,0.6775098149186763
Case_32,Expert vs Novice,Natally,Onur,post,tumor,0.6202578268876612
Case_32,Expert vs Novice,Maria,Burcin,post,tumor,0.7018653177363263
Case_32,Expert vs Novice,Maria,Onur,post,tumor,0.8365051903114187
Case_32,Experts,Natally,Maria,post,tumor,0.7065567896811179
Case_32,Novices,Burcin,Onur,post,tumor,0.671201814058957
Case_33,Expert vs Novice,Natally,Burcin,pre,pancreas,0.8690326154142551
Case_33,Expert vs Novice,Natally,Onur,pre,pancreas,0.8945584496923701
Case_33,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8960368898935811
Case_33,Expert vs Novice,Maria,Onur,pre,pancreas,0.8702369571155422
Case_33,Experts,Natally,Maria,pre,pancreas,0.8819929202368744
Case_33,Novices,Burcin,Onur,pre,pancreas,0.8492679010404165
Case_33,Expert vs Novice,Natally,Burcin,pre,tumor,0.7999625222524126
Case_33,Expert vs Novice,Natally,Onur,pre,tumor,0.8084980820300973
Case_33,Expert vs Novice,Maria,Burcin,pre,tumor,0.8517244972387205
Case_33,Expert vs Novice,Maria,Onur,pre,tumor,0.8793312066879331
Case_33,Experts,Natally,Maria,pre,tumor,0.7889233152594888
Case_33,Novices,Burcin,Onur,pre,tumor,0.8692242475625265
Case_33,Expert vs Novice,Natally,Burcin,post,pancreas,0.8115899683467251
Case_33,Expert vs Novice,Natally,Onur,post,pancreas,0.8742106036128653
Case_33,Expert vs Novice,Maria,Burcin,post,pancreas,0.8624923768693736
Case_33,Expert vs Novice,Maria,Onur,post,pancreas,0.8530192584593232
Case_33,Experts,Natally,Maria,post,pancreas,0.8711910461279679
Case_33,Novices,Burcin,Onur,post,pancreas,0.7839399366582683
Case_33,Expert vs Novice,Natally,Burcin,post,tumor,0.7120701281186783
Case_33,Expert vs Novice,Natally,Onur,post,tumor,0.6556580864497329
Case_33,Expert vs Novice,Maria,Burcin,post,tumor,0.5074074074074074
Case_33,Expert vs Novice,Maria,Onur,post,tumor,0.7017304189435337
Case_33,Experts,Natally,Maria,post,tumor,0.6518678938819708
Case_33,Novices,Burcin,Onur,post,tumor,0.4672489082969432
Case_34,Expert vs Novice,Natally,Burcin,pre,pancreas,0.8066312433581296
Case_34,Expert vs Novice,Natally,Onur,pre,pancreas,0.8487800126625432
Case_34,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8335444947209653
Case_34,Expert vs Novice,Maria,Onur,pre,pancreas,0.8290162547724104
Case_34,Experts,Natally,Maria,pre,pancreas,0.8472147973912114
Case_34,Novices,Burcin,Onur,pre,pancreas,0.7909417162585745
Case_34,Expert vs Novice,Natally,Burcin,pre,tumor,0.7741138693343214
Case_34,Expert vs Novice,Natally,Onur,pre,tumor,0.8238596491228071
Case_34,Expert vs Novice,Maria,Burcin,pre,tumor,0.8476087543907053
Case_34,Expert vs Novice,Maria,Onur,pre,tumor,0.8942457231726283
Case_34,Experts,Natally,Maria,pre,tumor,0.8007161547996143
Case_34,Novices,Burcin,Onur,pre,tumor,0.856317093311313
Case_34,Expert vs Novice,Natally,Burcin,post,pancreas,0.7362978773864579
Case_34,Expert vs Novice,Natally,Onur,post,pancreas,0.7871743718738254
Case_34,Expert vs Novice,Maria,Burcin,post,pancreas,0.7820828473932011
Case_34,Expert vs Novice,Maria,Onur,post,pancreas,0.751317012705299
Case_34,Experts,Natally,Maria,post,pancreas,0.8253604419281637
Case_34,Novices,Burcin,Onur,post,pancreas,0.7568031774998658
Case_34,Expert vs Novice,Natally,Burcin,post,tumor,0.7719435736677116
Case_34,Expert vs Novice,Natally,Onur,post,tumor,0.8606841844323252
Case_34,Expert vs Novice,Maria,Burcin,post,tumor,0.8617155187915843
Case_34,Expert vs Novice,Maria,Onur,post,tumor,0.8532620797149856
Case_34,Experts,Natally,Maria,post,tumor,0.8400787573835047
Case_34,Novices,Burcin,Onur,post,tumor,0.7750796178343949
Case_35,Expert vs Novice,Natally,Burcin,pre,pancreas,0.806127142200092
Case_35,Expert vs Novice,Natally,Onur,pre,pancreas,0.8561729583975347
Case_35,Expert vs Novice,Maria,Burcin,pre,pancreas,0.827094543406049
Case_35,Expert vs Novice,Maria,Onur,pre,pancreas,0.8580264136904762
Case_35,Experts,Natally,Maria,pre,pancreas,0.8604957805907173
Case_35,Novices,Burcin,Onur,pre,pancreas,0.7842394392877439
Case_35,Expert vs Novice,Natally,Burcin,pre,tumor,0.5883711975356181
Case_35,Expert vs Novice,Natally,Onur,pre,tumor,0.7357774968394437
Case_35,Expert vs Novice,Maria,Burcin,pre,tumor,0.28066825775656323
Case_35,Expert vs Novice,Maria,Onur,pre,tumor,0.524074074074074
Case_35,Experts,Natally,Maria,pre,tumor,0.5028571428571429
Case_35,Novices,Burcin,Onur,pre,tumor,0.5111989459815547
Case_35,Expert vs Novice,Natally,Burcin,post,pancreas,0.7576650806545201
Case_35,Expert vs Novice,Natally,Onur,post,pancreas,0.8471722250319816
Case_35,Expert vs Novice,Maria,Burcin,post,pancreas,0.8376129740687558
Case_35,Expert vs Novice,Maria,Onur,post,pancreas,0.8207686622320769
Case_35,Experts,Natally,Maria,post,pancreas,0.8274869863192864
Case_35,Novices,Burcin,Onur,post,pancreas,0.7497894244267665
Case_35,Expert vs Novice,Natally,Burcin,post,tumor,0.0
Case_35,Expert vs Novice,Natally,Onur,post,tumor,0.30424710424710427
Case_35,Expert vs Novice,Maria,Burcin,post,tumor,0.5586497890295359
Case_35,Expert vs Novice,Maria,Onur,post,tumor,0.0
Case_35,Experts,Natally,Maria,post,tumor,0.0
Case_35,Novices,Burcin,Onur,post,tumor,0.003656307129798903
Case_36,Expert vs Novice,Natally,Burcin,pre,pancreas,0.8015003787013549
Case_36,Expert vs Novice,Natally,Onur,pre,pancreas,0.8817461242569063
Case_36,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8581497600214806
Case_36,Expert vs Novice,Maria,Onur,pre,pancreas,0.8763429365545994
Case_36,Experts,Natally,Maria,pre,pancreas,0.8576253920596199
Case_36,Novices,Burcin,Onur,pre,pancreas,0.8161709168075387
Case_36,Expert vs Novice,Natally,Burcin,pre,tumor,0.7232641374373657
Case_36,Expert vs Novice,Natally,Onur,pre,tumor,0.7105854169785896
Case_36,Expert vs Novice,Maria,Burcin,pre,tumor,0.7395675526786943
Case_36,Expert vs Novice,Maria,Onur,pre,tumor,0.7263838964773545
Case_36,Experts,Natally,Maria,pre,tumor,0.7578388808490111
Case_36,Novices,Burcin,Onur,pre,tumor,0.7694759206798867
Case_36,Expert vs Novice,Natally,Burcin,post,pancreas,0.6673209028459274
Case_36,Expert vs Novice,Natally,Onur,post,pancreas,0.8797634798516849
Case_36,Expert vs Novice,Maria,Burcin,post,pancreas,0.7505924850965202
Case_36,Expert vs Novice,Maria,Onur,post,pancreas,0.8710105232809572
Case_36,Experts,Natally,Maria,post,pancreas,0.8374554647191875
Case_36,Novices,Burcin,Onur,post,pancreas,0.697284050088965
Case_36,Expert vs Novice,Natally,Burcin,post,tumor,0.5331669785818257
Case_36,Expert vs Novice,Natally,Onur,post,tumor,0.7715764442579381
Case_36,Expert vs Novice,Maria,Burcin,post,tumor,0.490154711673699
Case_36,Expert vs Novice,Maria,Onur,post,tumor,0.807673143996014
Case_36,Experts,Natally,Maria,post,tumor,0.6939331970006817
Case_36,Novices,Burcin,Onur,post,tumor,0.5343511450381679
Case_38,Expert vs Novice,Natally,Burcin,pre,pancreas,0.774856239848997
Case_38,Expert vs Novice,Natally,Onur,pre,pancreas,0.8748113845673552
Case_38,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8458838669422455
Case_38,Expert vs Novice,Maria,Onur,pre,pancreas,0.8484217200307957
Case_38,Experts,Natally,Maria,pre,pancreas,0.8177378848479211
Case_38,Novices,Burcin,Onur,pre,pancreas,0.8045376712328767
Case_38,Expert vs Novice,Natally,Burcin,pre,tumor,0.7163695299837926
Case_38,Expert vs Novice,Natally,Onur,pre,tumor,0.6816640986132512
Case_38,Expert vs Novice,Maria,Burcin,pre,tumor,0.753805561193424
Case_38,Expert vs Novice,Maria,Onur,pre,tumor,0.6396786155747837
Case_38,Experts,Natally,Maria,pre,tumor,0.7485812978040958
Case_38,Novices,Burcin,Onur,pre,tumor,0.5680990531682447
Case_38,Expert vs Novice,Natally,Burcin,post,pancreas,0.7717778194080179
Case_38,Expert vs Novice,Natally,Onur,post,pancreas,0.8408323614265545
Case_38,Expert vs Novice,Maria,Burcin,post,pancreas,0.7661149331335286
Case_38,Expert vs Novice,Maria,Onur,post,pancreas,0.8283364287609446
Case_38,Experts,Natally,Maria,post,pancreas,0.8158033753162621
Case_38,Novices,Burcin,Onur,post,pancreas,0.7381081214029219
Case_38,Expert vs Novice,Natally,Burcin,post,tumor,0.4717458532471184
Case_38,Expert vs Novice,Natally,Onur,post,tumor,0.7360208062418726
Case_38,Expert vs Novice,Maria,Burcin,post,tumor,0.6562344759066071
Case_38,Expert vs Novice,Maria,Onur,post,tumor,0.6198305929247633
Case_38,Experts,Natally,Maria,post,tumor,0.6696230598669624
Case_38,Novices,Burcin,Onur,post,tumor,0.3892414626775461
